data_version,target,location,date,quantil,type,value
2021-03-14,7 day R,DE,10.09.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,11.09.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,12.09.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,13.09.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,14.09.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,15.09.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,16.09.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,17.09.2020,NA,point,"1,07"
2021-03-14,7 day R,DE,18.09.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,19.09.2020,NA,point,"1,01"
2021-03-14,7 day R,DE,20.09.2020,NA,point,"1,01"
2021-03-14,7 day R,DE,21.09.2020,NA,point,"1,02"
2021-03-14,7 day R,DE,22.09.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,23.09.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,24.09.2020,NA,point,"1,09"
2021-03-14,7 day R,DE,25.09.2020,NA,point,"1,11"
2021-03-14,7 day R,DE,26.09.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,27.09.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,28.09.2020,NA,point,"1,13"
2021-03-14,7 day R,DE,29.09.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,30.09.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,01.10.2020,NA,point,"1,23"
2021-03-14,7 day R,DE,02.10.2020,NA,point,"1,28"
2021-03-14,7 day R,DE,03.10.2020,NA,point,"1,31"
2021-03-14,7 day R,DE,04.10.2020,NA,point,"1,36"
2021-03-14,7 day R,DE,05.10.2020,NA,point,"1,38"
2021-03-14,7 day R,DE,06.10.2020,NA,point,"1,39"
2021-03-14,7 day R,DE,07.10.2020,NA,point,"1,38"
2021-03-14,7 day R,DE,08.10.2020,NA,point,"1,35"
2021-03-14,7 day R,DE,09.10.2020,NA,point,"1,32"
2021-03-14,7 day R,DE,10.10.2020,NA,point,"1,29"
2021-03-14,7 day R,DE,11.10.2020,NA,point,"1,30"
2021-03-14,7 day R,DE,12.10.2020,NA,point,"1,31"
2021-03-14,7 day R,DE,13.10.2020,NA,point,"1,34"
2021-03-14,7 day R,DE,14.10.2020,NA,point,"1,37"
2021-03-14,7 day R,DE,15.10.2020,NA,point,"1,38"
2021-03-14,7 day R,DE,16.10.2020,NA,point,"1,37"
2021-03-14,7 day R,DE,17.10.2020,NA,point,"1,38"
2021-03-14,7 day R,DE,18.10.2020,NA,point,"1,40"
2021-03-14,7 day R,DE,19.10.2020,NA,point,"1,42"
2021-03-14,7 day R,DE,20.10.2020,NA,point,"1,44"
2021-03-14,7 day R,DE,21.10.2020,NA,point,"1,43"
2021-03-14,7 day R,DE,22.10.2020,NA,point,"1,39"
2021-03-14,7 day R,DE,23.10.2020,NA,point,"1,34"
2021-03-14,7 day R,DE,24.10.2020,NA,point,"1,29"
2021-03-14,7 day R,DE,25.10.2020,NA,point,"1,26"
2021-03-14,7 day R,DE,26.10.2020,NA,point,"1,21"
2021-03-14,7 day R,DE,27.10.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,28.10.2020,NA,point,"1,13"
2021-03-14,7 day R,DE,29.10.2020,NA,point,"1,09"
2021-03-14,7 day R,DE,30.10.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,31.10.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,01.11.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,02.11.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,03.11.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,04.11.2020,NA,point,"1,02"
2021-03-14,7 day R,DE,05.11.2020,NA,point,"0,99"
2021-03-14,7 day R,DE,06.11.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,07.11.2020,NA,point,"0,97"
2021-03-14,7 day R,DE,08.11.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,09.11.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,10.11.2020,NA,point,"0,97"
2021-03-14,7 day R,DE,11.11.2020,NA,point,"0,99"
2021-03-14,7 day R,DE,12.11.2020,NA,point,"1,02"
2021-03-14,7 day R,DE,13.11.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,14.11.2020,NA,point,"1,05"
2021-03-14,7 day R,DE,15.11.2020,NA,point,"1,05"
2021-03-14,7 day R,DE,16.11.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,17.11.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,18.11.2020,NA,point,"1,02"
2021-03-14,7 day R,DE,19.11.2020,NA,point,"1,00"
2021-03-14,7 day R,DE,20.11.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,21.11.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,22.11.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,23.11.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,24.11.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,25.11.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,26.11.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,27.11.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,28.11.2020,NA,point,"1,00"
2021-03-14,7 day R,DE,29.11.2020,NA,point,"1,03"
