country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2021-01-04,,estimate,0.983997252039497,0.989757994462776,0.0463739687967107,0.925098906358337,0.956096456344616,0.972281635768856,0.995971377149052,1.01731205248202,1.07387708892523
Germany,2021-01-05,,estimate,0.977629938358316,0.982615121376764,0.0422234662801597,0.922245306972797,0.951617222304635,0.967946497237321,0.988624422896468,1.00861571652299,1.05883356151122
Germany,2021-01-06,,estimate,0.969046928308328,0.973362680931287,0.0375527321360577,0.919174383890956,0.945813532775764,0.960443623880034,0.979268812328295,0.997108939395383,1.03929944688422
Germany,2021-01-07,,estimate,0.959584948578129,0.96256236111364,0.0332173987049992,0.914147531570631,0.938451543659917,0.951542368691115,0.968234359438299,0.982887265689642,1.02071798039207
Germany,2021-01-08,,estimate,0.949200305508508,0.950808958386227,0.0300284027932348,0.907078400041513,0.929186015780383,0.941510693823917,0.956394614326447,0.969561521568572,1.00313857296678
Germany,2021-01-09,,estimate,0.937915381755623,0.938679477455155,0.028465235123718,0.895341574939838,0.919671190501731,0.930944748936468,0.944706839751017,0.956721430191611,0.986594951982262
Germany,2021-01-10,,estimate,0.926894020008711,0.926694290697261,0.0284100206893526,0.87923744219897,0.91047934854915,0.920550168909527,0.933412104983434,0.944803344464717,0.971909980254591
Germany,2021-01-11,,estimate,0.916853894241527,0.915291804155282,0.0292512111044687,0.863158985161207,0.900400151286163,0.910865814620273,0.9234626960138,0.933858896535076,0.958979257514353
Germany,2021-01-12,,estimate,0.908144085873841,0.904815464615335,0.0302892353014223,0.848504111305853,0.889912973734729,0.902160244013876,0.914041406386453,0.924427051166691,0.947731210733185
Germany,2021-01-13,,estimate,0.899965358149593,0.89551045038723,0.0310261516582107,0.836683912626472,0.879872734120506,0.893518423882117,0.906020120722212,0.916329141894788,0.937918190344763
Germany,2021-01-14,,estimate,0.892691069684655,0.887527033315758,0.031227883034067,0.828127666018357,0.870896761257255,0.885409947263881,0.898629839030314,0.908938403305171,0.928738237819385
Germany,2021-01-15,,estimate,0.886054610215899,0.880928100820504,0.0308818516561559,0.824620253697153,0.863524104716087,0.878116974553106,0.892683481590565,0.902553346647083,0.922050219378847
Germany,2021-01-16,,estimate,0.880181521007531,0.875699260585973,0.0301335670899568,0.820682973497273,0.857728379920598,0.872302772879874,0.887274941289824,0.89682862375387,0.91673086607144
Germany,2021-01-17,,estimate,0.875447075203317,0.8717608880215,0.0292191916297494,0.818651414715025,0.854447626206192,0.867966224473773,0.882167507802375,0.89212531137412,0.912817826697393
Germany,2021-01-18,,estimate,0.871642765817635,0.868982080387971,0.0283898549897433,0.818831786580954,0.851642434168533,0.864195582780866,0.878639813977896,0.888810944732681,0.910724809705075
