"country","date","R_low","R_mean","R_high","observed"
"Thailand",2020-06-28,0.696782022656684,1.26209526462094,1.99255153492772,"Observed"
"Thailand",2020-06-29,0.687397161793575,1.23602069950219,1.94294165428863,"Observed"
"Thailand",2020-06-30,0.683324344881097,1.21861376041644,1.90618793982176,"Observed"
"Thailand",2020-07-01,0.685956418746027,1.21175110644104,1.88467945380081,"Observed"
"Thailand",2020-07-02,0.694120468056249,1.21337884821526,1.87526805540608,"Observed"
"Thailand",2020-07-03,0.705084487945844,1.21922102885453,1.87183813138701,"Observed"
"Thailand",2020-07-04,0.715412123428651,1.22421173207641,1.86744247984915,"Observed"
"Thailand",2020-07-05,0.721822626260507,1.22379327613641,1.85610794321546,"Observed"
"Thailand",2020-07-06,0.72167488591673,1.21458255900971,1.83370205544713,"Observed"
"Thailand",2020-07-07,0.714642799685933,1.19647366535965,1.8004427517249,"Observed"
"Thailand",2020-07-08,0.703814571004501,1.17391388178668,1.76230799255129,"Observed"
"Thailand",2020-07-09,0.693975738571398,1.15350709109201,1.72789355573621,"Observed"
"Thailand",2020-07-10,0.689153101898538,1.14067307745669,1.70411130134627,"Observed"
"Thailand",2020-07-11,0.69112300277597,1.13762644864556,1.69359246398974,"Observed"
"Thailand",2020-07-12,0.699005586795263,1.14288811427885,1.69412447724342,"Observed"
"Thailand",2020-07-13,0.710294948689168,1.15275904809277,1.70062127372317,"Observed"
"Thailand",2020-07-14,0.721306086319905,1.16208954439673,1.70628584817453,"Observed"
"Thailand",2020-07-15,0.728005420360669,1.1655004677403,1.70428021946536,"Observed"
"Thailand",2020-07-16,0.725832355816497,1.15723697023345,1.68764210977186,"Observed"
"Thailand",2020-07-17,0.710973645603475,1.13276353814056,1.65120432798613,"Observed"
"Thailand",2020-07-18,0.683005358924783,1.09200281602718,1.59542006132909,"Observed"
"Thailand",2020-07-19,0.645132723500105,1.03952515181836,1.52647596448235,"Observed"
"Thailand",2020-07-20,0.603552108187844,0.983668012483874,1.4551185345028,"Observed"
"Thailand",2020-07-21,0.565029421600041,0.933449742378196,1.39284648629254,"Observed"
"Thailand",2020-07-22,0.534760698283496,0.895821373940059,1.34850767054138,"Observed"
"Thailand",2020-07-23,0.515984719420372,0.875106869577109,1.3275398890465,"Observed"
"Thailand",2020-07-24,0.510270440446628,0.873290854653943,1.33224965425252,"Observed"
"Thailand",2020-07-25,0.517832771807622,0.890338425726657,1.36213441771167,"Observed"
"Thailand",2020-07-26,0.537160921732561,0.923639603272326,1.41314731564152,"Observed"
"Thailand",2020-07-27,0.564225658761852,0.966991292485771,1.47647741556376,"Observed"
"Thailand",2020-07-28,0.592658093773748,1.01102257734079,1.53928864400329,"Observed"
"Thailand",2020-07-29,0.615985661245008,1.0464497164653,1.58911354164767,"Observed"
"Thailand",2020-07-30,0.630550719194372,1.06817614302668,1.61926190372344,"Observed"
"Thailand",2020-07-31,0.636250651654436,1.07632180135576,1.63018440678479,"Observed"
"Thailand",2020-08-01,0.635110510602981,1.07416852936397,1.62671097550389,"Observed"
"Thailand",2020-08-02,0.629215691045093,1.06516108623535,1.61397989017952,"Observed"
"Thailand",2020-08-03,0.619591856949312,1.05122428716782,1.59508869290806,"Observed"
"Thailand",2020-08-04,0.606913843699581,1.03362511540784,1.57208298245363,"Observed"
"Thailand",2020-08-05,0.592502240811432,1.0143303092541,1.54770076991393,"Observed"
"Thailand",2020-08-06,0.577801368014565,0.995396463372348,1.52470254587134,"Observed"
"Thailand",2020-08-07,0.563326060843756,0.977600826865685,1.50418956714525,"Observed"
"Thailand",2020-08-08,0.548345773473434,0.959999249388384,1.48503115262218,"Observed"
"Thailand",2020-08-09,0.531689082757622,0.940989842628981,1.46520052926826,"Observed"
"Thailand",2020-08-10,0.513184791305413,0.920284336513838,1.44430834899249,"Observed"
"Thailand",2020-08-11,0.49475595111153,0.900471955137018,1.42566398423705,"Observed"
"Thailand",2020-08-12,0.479544756379546,0.885921969588657,1.41494930846292,"Observed"
"Thailand",2020-08-13,0.470168657061751,0.880367752040572,1.41707961029786,"Observed"
"Thailand",2020-08-14,0.467903940644758,0.885624987243227,1.43438914518866,"Observed"
"Thailand",2020-08-15,0.472230845423612,0.900815057481264,1.46549113557711,"Observed"
"Thailand",2020-08-16,0.481284998510735,0.922942923539985,1.50598758484397,"Observed"
"Thailand",2020-08-17,0.493048239791233,0.948640810787929,1.55082222204887,"Observed"
"Thailand",2020-08-18,0.505850905294711,0.975033462717266,1.59559344988483,"Observed"
"Thailand",2020-08-19,0.518482839711063,1.00002569718813,1.63708615528592,"Observed"
"Thailand",2020-08-20,0.530747749375437,1.02312646936029,1.67439122157667,"Observed"
"Thailand",2020-08-21,0.543979000763555,1.04614411784247,1.70976779787859,"Observed"
"Thailand",2020-08-22,0.560940665021524,1.07294562987996,1.74821414583756,"Observed"
"Thailand",2020-08-23,0.584645835069476,1.10763046996298,1.79492205494094,"Observed"
"Thailand",2020-08-24,0.61560048486328,1.15053939139071,1.84997465789096,"Observed"
"Thailand",2020-08-25,0.649797167542117,1.19555248386064,1.90492902718136,"Observed"
"Thailand",2020-08-26,0.679946267028055,1.23218155939462,1.94586735842022,"Observed"
"Thailand",2020-08-27,0.699352351310276,1.25131903334683,1.96120891996799,"Observed"
"Thailand",2020-08-28,0.706246312806852,1.25124123505716,1.94952373370662,"Observed"
"Thailand",2020-08-29,0.704090333049753,1.2377365551583,1.91943650405085,"Observed"
"Thailand",2020-08-30,0.6981894058788,1.21907885139613,1.8827509595029,"Observed"
"Thailand",2020-08-31,0.693110518093864,1.20218093974659,1.84913050074397,"Observed"
"Thailand",2020-09-01,0.69133385590695,1.19067350715165,1.82352805908781,"Observed"
"Thailand",2020-09-02,0.693596777799787,1.18546179952755,1.80699462633892,"Observed"
"Thailand",2020-09-03,0.699311462094154,1.18547110645313,1.79783774608255,"Observed"
"Thailand",2020-09-04,0.705710538660849,1.18672674443771,1.7907133975937,"Observed"
"Thailand",2020-09-05,0.70833483739284,1.183164526143,1.77781680021016,"Observed"
"Thailand",2020-09-06,0.703033572675323,1.16935521404821,1.75238435700956,"Observed"
"Thailand",2020-09-07,0.68806774998527,1.1432592743325,1.7121376083082,"Observed"
"Thailand",2020-09-08,0.665123976896931,1.10745912758005,1.66072603190962,"Observed"
"Thailand",2020-09-09,0.638255952751885,1.06765886306378,1.60572736970224,"Observed"
"Thailand",2020-09-10,0.611612462111307,1.02961695197862,1.55470771031879,"Observed"
"Thailand",2020-09-11,0.588207856637321,0.997462283149105,1.5130263619074,"Observed"
"Thailand",2020-09-12,0.569730221137142,0.97341958036798,1.48346314728437,"Observed"
"Thailand",2020-09-13,0.556815387048979,0.958190992818859,1.4667224187114,"Observed"
"Thailand",2020-09-14,0.549602763652916,0.95172464274686,1.46243874308573,"Observed"
"Thailand",2020-09-15,0.548376575467896,0.954097399688143,1.47032319051695,"Observed"
"Thailand",2020-09-16,0.553856477229683,0.965920890465109,1.4906980659454,"Observed"
"Thailand",2020-09-17,0.567366021373119,0.98854955076315,1.52474538750168,"Observed"
"Thailand",2020-09-18,0.590715853332359,1.02386670996018,1.5741861325438,"Observed"
"Thailand",2020-09-19,0.625644054679462,1.07345184070968,1.6401606862329,"Observed"
"Thailand",2020-09-20,0.673100715060733,1.13756367593786,1.72190559238923,"Observed"
"Thailand",2020-09-21,0.732201351409331,1.21380938106573,1.81516086943903,"Observed"
"Thailand",2020-09-22,0.799357660453733,1.2962606039453,1.91133350462015,"Observed"
"Thailand",2020-09-23,0.868149910776624,1.37573410317571,1.9982818457046,"Observed"
"Thailand",2020-09-24,0.930317420086605,1.44153379105319,2.06290142745522,"Observed"
"Thailand",2020-09-25,0.977750817930065,1.48421909736325,2.09470338449698,"Observed"
"Thailand",2020-09-26,1.00466393202942,1.49817594072269,2.08872883330513,"Observed"
"Thailand",2020-09-27,1.00891392512127,1.48277219063015,2.04641777281254,"Observed"
"Thailand",2020-09-28,0.991989184229527,1.44177518207804,1.97432944423163,"Observed"
"Thailand",2020-09-29,0.957386188444884,1.38096987078774,1.88092162523097,"Observed"
"Thailand",2020-09-30,0.909957514127016,1.3072068493118,1.77527909341511,"Observed"
"Thailand",2020-10-01,0.854933462493777,1.2272616266846,1.66583554655339,"Observed"
"Thailand",2020-10-02,0.79697925628572,1.14684068998663,1.55936669143725,"Observed"
"Thailand",2020-10-03,0.740057575063711,1.07056894698625,1.46113659131114,"Observed"
"Thailand",2020-10-04,0.686723315381115,1.00126961283104,1.37418841460265,"Observed"
"Thailand",2020-10-05,0.638053568637418,0.939953147353492,1.29940845249607,"Observed"
"Thailand",2020-10-06,0.594221265036375,0.886545566552838,1.23642028687527,"Observed"
"Thailand",2020-10-07,0.554743836158626,0.840207692038984,1.18398368545023,"Observed"
"Thailand",2020-10-08,0.518789375715562,0.799708405672151,1.14044088378907,"Observed"
"Thailand",2020-10-09,0.485395897100415,0.763685721330174,1.10402352132203,"Predicted"
"Thailand",2020-10-10,0.453355043615554,0.730484328521125,1.07264775482413,"Predicted"
"Thailand",2020-10-11,0.421437100304569,0.698410161828589,1.04420323165733,"Predicted"
"Thailand",2020-10-12,0.388453226631512,0.665784561513073,1.01660807773424,"Predicted"
"Thailand",2020-10-13,0.355287873595084,0.633631293834432,0.991166142144374,"Predicted"
"Thailand",2020-10-14,0.326557207274362,0.608217605938343,0.976011620135371,"Predicted"
"Thailand",2020-10-15,0.309489823342093,0.600092617720868,0.985301225799262,"Predicted"
"Togo",2020-04-07,0.282060250538484,0.618850716539281,1.08570287364232,"Observed"
"Togo",2020-04-08,0.24932553574018,0.584734261207618,1.06063468776995,"Observed"
"Togo",2020-04-09,0.232574530659812,0.578752308310839,1.07999096786823,"Observed"
"Togo",2020-04-10,0.230543863665166,0.600454836659692,1.14432165442008,"Observed"
"Togo",2020-04-11,0.24228945816629,0.649192378787764,1.25309997013969,"Observed"
"Togo",2020-04-12,0.268172807931313,0.725283089215271,1.40579696832093,"Observed"
"Togo",2020-04-13,0.310132806087729,0.83010817695241,1.60156785165958,"Observed"
"Togo",2020-04-14,0.371699562444505,0.965721683760349,1.83837594436709,"Observed"
"Togo",2020-04-15,0.456482589965509,1.13204767773947,2.10907748400704,"Observed"
"Togo",2020-04-16,0.565054044748476,1.32228785605745,2.39588493457688,"Observed"
"Togo",2020-04-17,0.69031063689487,1.51774520157049,2.66556894747727,"Observed"
"Togo",2020-04-18,0.81379539789027,1.68616671551334,2.87093635348471,"Observed"
"Togo",2020-04-19,0.910226746309803,1.7922396633781,2.96804376580979,"Observed"
"Togo",2020-04-20,0.959895330741844,1.81573618007937,2.93980693790247,"Observed"
"Togo",2020-04-21,0.958994559014835,1.76210190943702,2.80546365470252,"Observed"
"Togo",2020-04-22,0.920026765367475,1.65789833050085,2.60945556683269,"Observed"
"Togo",2020-04-23,0.861597132539902,1.53410090414583,2.39740150896673,"Observed"
"Togo",2020-04-24,0.800095761062672,1.41494517248828,2.20218262776162,"Observed"
"Togo",2020-04-25,0.749688009127483,1.31925037904701,2.04711865255459,"Observed"
"Togo",2020-04-26,0.722793469085879,1.26227934332434,1.94969584765214,"Observed"
"Togo",2020-04-27,0.731763890269009,1.25839166340662,1.92543778752631,"Observed"
"Togo",2020-04-28,0.78847854657488,1.32005875617939,1.98638158023375,"Observed"
"Togo",2020-04-29,0.898756702165151,1.4498820216007,2.13066321429315,"Observed"
"Togo",2020-04-30,1.05546337618205,1.6323125795408,2.3329110653033,"Observed"
"Togo",2020-05-01,1.23396646570165,1.83062128215928,2.54308167649689,"Observed"
"Togo",2020-05-02,1.39538077671503,1.99462759542787,2.69924944235043,"Observed"
"Togo",2020-05-03,1.50354802052222,2.08338109595623,2.75630529625421,"Observed"
"Togo",2020-05-04,1.54194262763933,2.08374445393666,2.70586225491127,"Observed"
